hex_index,polygon
882a134885fffff,"POLYGON ((-75.19127379188072 39.99117008155586, -75.19752848352896 39.990059142660655, -75.19935027555523 39.98562094881927, -75.19491828403505 39.982294000030166, -75.1886645663276 39.983404697628394, -75.18684186630138 39.987842585280504, -75.19127379188072 39.99117008155586))"
882a134d37fffff,"POLYGON ((-75.1839542723016 39.91022287985058, -75.19019841711989 39.90911338352064, -75.19201777435183 39.90467996203229, -75.1875938916068 39.90135634276383, -75.1813507175232 39.90246559821661, -75.17953045555129 39.90689871378287, -75.1839542723016 39.91022287985058))"
882aacb2cdfffff,"POLYGON ((-75.20790139401944 39.92240875716385, -75.21414665921904 39.9212978116734, -75.21596426183714 39.9168632890413, -75.2115375050779 39.91354001742482, -75.20529321071433 39.91465072153516, -75.20347470237532 39.91908493860992, -75.20790139401944 39.92240875716385))"
882a13499bfffff,"POLYGON ((-75.22879781942805 39.98449959624869, -75.23505086122331 39.98338671694223, -75.23686890780326 39.97894827836118, -75.23243482124134 39.975623024544475, -75.2261827524847 39.976735661853866, -75.22436379735299 39.98117379494476, -75.22879781942805 39.98449959624869))"
882a134163fffff,"POLYGON ((-75.08060277021382 40.07661492694058, -75.08687102585863 40.07550888067502, -75.0887064152982 40.071067660579985, -75.08427445808167 40.06773279529107, -75.07800718175102 40.0688386021056, -75.07617088342563 40.073279513628044, -75.08060277021382 40.07661492694058))"
882a134ab5fffff,"POLYGON ((-75.14825934763907 40.01114397284206, -75.15451755808941 40.01003510130816, -75.1563441194776 40.0055964843614, -75.15191337835556 40.00226704596701, -75.14565614338676 40.00337567696512, -75.1438286741606 40.007813986861294, -75.14825934763907 40.01114397284206))"
882a1348ddfffff,"POLYGON ((-75.1537398817167 39.997828917865704, -75.15999621850217 39.99671992124676, -75.16182175632242 39.99228197517919, -75.1573918649045 39.988953332586405, -75.15113650296007 39.990062088609406, -75.14931005769456 39.994499727789005, -75.1537398817167 39.997828917865704))"
882a13485bfffff,"POLYGON ((-75.15868076089762 40.04222452415777, -75.16494287604812 40.04111468971184, -75.1667696688564 40.03667411814737, -75.16233525587485 40.03334368801479, -75.1560741173157 40.034453281617324, -75.15424641524906 40.03889354616365, -75.15868076089762 40.04222452415777))"
882a13432dfffff,"POLYGON ((-75.04264774163978 40.11212910441791, -75.04892147494803 40.11102466586113, -75.05076177771952 40.10658206335805, -75.04632925671038 40.103244208800405, -75.04005650481967 40.10434840852128, -75.03821529262385 40.10879070160371, -75.04264774163978 40.11212910441791))"
882a134a3dfffff,"POLYGON ((-75.15841197703595 40.07109507581922, -75.16467792472349 40.06998488537262, -75.1665058585292 40.06554266740208, -75.16206875511405 40.062210947010364, -75.15580378521628 40.06332089651998, -75.15397494104637 40.0677628073261, -75.15841197703595 40.07109507581922))"
882a1341cdfffff,"POLYGON ((-75.03815134850285 40.038821525269235, -75.04441544492283 40.03771825776, -75.0462533135015 40.033279916766574, -75.04182799227162 40.02994515238834, -75.03556487430285 40.03104818139593, -75.03372609921551 40.035486213251495, -75.03815134850285 40.038821525269235))"
882a134343fffff,"POLYGON ((-74.99429402293332 40.11651065207102, -75.00056930533684 40.11540878178606, -75.00241427908259 40.110966753029466, -74.99798487906232 40.10762690482481, -74.99171057905808 40.1087285371969, -74.98986469677833 40.11317025565463, -74.99429402293332 40.11651065207102))"
882a134221fffff,"POLYGON ((-74.96514968656743 40.088687416427, -74.97142185311273 40.087587476266066, -74.973268450788 40.083147531157714, -74.96884378884673 40.079807836854826, -74.96257260402388 40.08090753976137, -74.9607250995233 40.0853471741934, -74.96514968656743 40.088687416427))"
882a134d57fffff,"POLYGON ((-75.14101048824918 39.93017383972327, -75.14725813876953 39.929066401467985, -75.14908224925718 39.9246325522614, -75.1446596139043 39.921306448058886, -75.13841293565112 39.92241364619551, -75.1365879205853 39.92684718862127, -75.14101048824918 39.93017383972327))"
882a134ab3fffff,"POLYGON ((-75.13496922950245 40.0011539641538, -75.14122638708558 40.000045939370864, -75.14305379793012 39.995608118328164, -75.13862495846053 39.99227862927347, -75.13236877616782 39.9933864138113, -75.13054045815643 39.997823927616835, -75.13496922950245 40.0011539641538))"
882a134a81fffff,"POLYGON ((-75.12399384265163 40.0277853304137, -75.13025474873453 40.026677557789256, -75.13208420954892 40.02223839638001, -75.12765367233442 40.0189073151259, -75.12139374282397 40.02001484762629, -75.11956337405793 40.024453701472765, -75.12399384265163 40.0277853304137))"
882a1341e9fffff,"POLYGON ((-75.05694282262436 40.03551074737468, -75.06320610364185 40.03440650460125, -75.06504209714872 40.02996803425514, -75.06061571653194 40.0266341154394, -75.05435341351814 40.02773811935876, -75.05251651322013 40.03217628091596, -75.05694282262436 40.03551074737468))"
