hex_index,polygon
882aa8c72dfffff,"POLYGON ((-76.62144865114566 39.275110182649804, -76.62757816983424 39.273933214305636, -76.6292409070981 39.269514524025894, -76.62477503535959 39.266273079223424, -76.61864643705718 39.267449782007496, -76.61698279019814 39.27186819511948, -76.62144865114566 39.275110182649804))"
882aa8d5b1fffff,"POLYGON ((-76.54787122617788 39.28921009810972, -76.55400431159181 39.28803677785587, -76.55567436014161 39.28361832113287, -76.55121223209632 39.280373463193484, -76.54508006894837 39.28154651918633, -76.54340911167117 39.28596469734505, -76.54787122617788 39.28921009810972))"
882aa8c08dfffff,"POLYGON ((-76.66664992829568 39.29102460520899, -76.67278041701636 39.2898450166893, -76.6744395196666 39.285424722439394, -76.6699690447523 39.28218429309185, -76.66383947621084 39.283363615153505, -76.66217946249539 39.28778363298598, -76.66664992829568 39.29102460520899))"
882aa8c549fffff,"POLYGON ((-76.62363552589181 39.25419597747431, -76.62976229762091 39.253019217829475, -76.63142410162435 39.24860174254148, -76.62696004282684 39.24536130389914, -76.62083419063518 39.246537798029586, -76.61917147779451 39.25095499628216, -76.62363552589181 39.25419597747431))"
882aa8c2d3fffff,"POLYGON ((-76.57745431004199 39.31634766150679, -76.58359019503156 39.3151723693095, -76.5852584540742 39.31075186517526, -76.58079173855128 39.30750693135248, -76.57465677634491 39.30868195863193, -76.5729876069697 39.313102184617414, -76.57745431004199 39.31634766150679))"
882aa8c2d1fffff,"POLYGON ((-76.58025274733376 39.32401409308156, -76.5863895553534 39.32283853588345, -76.58805782381663 39.3184175349487, -76.58359019503156 39.3151723693095, -76.57745431004199 39.31634766150679, -76.57578513089891 39.32076838430949, -76.58025274733376 39.32401409308156))"
882aa8d5b9fffff,"POLYGON ((-76.5400662667805 39.29480176909586, -76.546200258174 39.29362877333317, -76.54787122617788 39.28921009810972, -76.54340911167117 39.28596469734505, -76.53727604290164 39.28713742896801, -76.53560416610637 39.29155582546088, -76.5400662667805 39.29480176909586))"
882aa8c09dfffff,"POLYGON ((-76.65043265445155 39.27364130982283, -76.65656129114404 39.27246284244834, -76.65822129092496 39.268043818984495, -76.65375356419528 39.26480353949567, -76.64762584730501 39.265981740782344, -76.64596493743306 39.27040048761096, -76.65043265445155 39.27364130982283))"
882aa8c23bfffff,"POLYGON ((-76.63110258393063 39.355291295486616, -76.6372422180103 39.35411258148853, -76.63890686448455 39.349688980092466, -76.63443278982349 39.34644437000678, -76.62829407906342 39.34762281793752, -76.62662851973626 39.35204614198654, -76.63110258393063 39.355291295486616))"
882aa8d585fffff,"POLYGON ((-76.54564941796195 39.31013263871622, -76.55178525534456 39.30895911442578, -76.55345624453739 39.30453944528702, -76.54899230592402 39.301293579101944, -76.54285739165954 39.302466839087124, -76.5411854929819 39.30688622952813, -76.54564941796195 39.31013263871622))"
882aa8c2a1fffff,"POLYGON ((-76.63828093693506 39.32108788458138, -76.64441598310157 39.31990932113013, -76.6460787667985 39.31548764872352, -76.64160741609737 39.312244816798966, -76.63547329179197 39.31342311419096, -76.6338095964178 39.31784450953205, -76.63828093693506 39.32108788458138))"
882aa8d5e7fffff,"POLYGON ((-76.5590448709203 39.319871710067105, -76.56518164786719 39.31869733194098, -76.56685173740756 39.314276887453495, -76.5623859602072 39.311031099555876, -76.55625010651409 39.31220521308965, -76.55457910685912 39.31662537907883, -76.5590448709203 39.319871710067105))"
882aa8c05bfffff,"POLYGON ((-76.64389894763741 39.33641960763093, -76.65003583826456 39.335240511811286, -76.65169863672153 39.330817845935925, -76.64722545701535 39.3275745528766, -76.64108948874163 39.32875338247038, -76.63942577791194 39.33317577131459, -76.64389894763741 39.33641960763093))"
882aa8c235fffff,"POLYGON ((-76.65233277112148 39.3594226444686, -76.65847243028678 39.35824274947122, -76.66013525020861 39.3538185939328, -76.65565932447379 39.35057461033614, -76.64952058840095 39.35175423885756, -76.64785685506186 39.356178117416775, -76.65233277112148 39.3594226444686))"
882aa8d52bfffff,"POLYGON ((-76.57303224424327 39.35821512465568, -76.57917364116807 39.357039422323744, -76.58084377995358 39.35261649474325, -76.57637343375869 39.34936954787499, -76.5702329613243 39.3505449851998, -76.56856191068611 39.354967634365366, -76.57303224424327 39.35821512465568))"
882aa8c0d9fffff,"POLYGON ((-76.62705579209 39.29043317027849, -76.63318715228787 39.28925567056476, -76.63484990538755 39.28483598595663, -76.6303822086689 39.28159407816138, -76.62425176934852 39.282771312148746, -76.62258810596038 39.28719071962304, -76.62705579209 39.29043317027849))"
882aa8c091fffff,"POLYGON ((-76.64762584730501 39.265981740782344, -76.65375356419528 39.26480353949567, -76.65541355687427 39.26038501332318, -76.65094674249836 39.25714496505504, -76.64481994516518 39.258322900337156, -76.64315904274166 39.26274114985729, -76.64762584730501 39.265981740782344))"
882aa8d58dfffff,"POLYGON ((-76.53784076436799 39.315725725314174, -76.54397750847525 39.31455252602411, -76.54564941796195 39.31013263871622, -76.5411854929819 39.30688622952813, -76.5350496723512 39.30805916463436, -76.53337685331566 39.31247877307804, -76.53784076436799 39.315725725314174))"
882aa8d5abfffff,"POLYGON ((-76.55345624453739 39.30453944528702, -76.5595911752238 39.30336559626272, -76.56126124444563 39.298946145514535, -76.55679729249319 39.295700822287465, -76.55066328456647 39.29687440688514, -76.54899230592402 39.301293579101944, -76.55345624453739 39.30453944528702))"
882aa8d50bfffff,"POLYGON ((-76.54399460037494 39.359666249353616, -76.550136874126 39.35849205377718, -76.5518097582461 39.3540694655387, -76.5473412800573 39.350821351790415, -76.54119993138004 39.35199528289049, -76.53952613590964 39.35641759218064, -76.54399460037494 39.359666249353616))"
882aa8c70bfffff,"POLYGON ((-76.57907281294106 39.2668423591314, -76.58520227472336 39.26566774357504, -76.5868686486809 39.261250163064176, -76.58240646941745 39.25800747597453, -76.57627792846978 39.25918182678569, -76.57461064604213 39.263599129397164, -76.57907281294106 39.2668423591314))"
